successful_update,pair_indices,pair_keys
4898,152,study02/study02_p14:target_t22_0:source_t14_800
4899,29;112;195;215;168;199;214;1,study02/study02_p08:target_t8_0:source_t14_400;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p07:target_t1_1200:source_t25_800
4900,10;157;36;131;122;55;115;240,study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p15:target_t7_1200:source_t1_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p12:target_t19_400:source_t12_0;study02/study02_p09:target_t15_1200:source_t8_800;study02/study02_p12:target_t14_0:source_t4_400;study02/study02_p18:target_t20_800:source_t13_800
4901,43;66;210;213;218;96;188;208,study02/study02_p09:target_t4_0:source_t1_800;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p17:target_t9_800:source_t21_400;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p17:target_t7_1200:source_t19_1200
4902,228;70;181;72;117;40;50;128,study02/study02_p17:target_t23_800:source_t2_1200;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p10:target_t3_400:source_t16_1200;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p13:target_t8_1200:source_t9_800
4903,92;226;133;74;80;185;219;32,study02/study02_p11:target_t8_1200:source_t0_1200;study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p10:target_t10_0:source_t17_800;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p08:target_t9_0:source_t15_400
4904,34;89;223;148;155;13;225;235,study02/study02_p08:target_t11_0:source_t15_1200;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p14:target_t15_400:source_t13_800;study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p18:target_t10_800:source_t12_400
4905,73;53;87;231;68;130;189;7,study02/study02_p10:target_t3_800:source_t17_400;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p07:target_t6_800:source_t4_400
4906,71;30;0;163;82;217;77;21,study02/study02_p10:target_t3_0:source_t16_800;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p08:target_t0_400:source_t12_400
4907,151;85;178;236;31;205;86;167,study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p15:target_t16_0:source_t6_0
4908,237;140;170;124;206;81;234;138,study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p14:target_t4_800:source_t3_400
4909,129;222;51;132;145;146;176;76,study02/study02_p13:target_t10_800:source_t9_1200;study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p16:target_t0_800:source_t2_400;study02/study02_p10:target_t11_0:source_t18_0
4910,156;100;2;103;220;38;238;154,study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p15:target_t3_1200:source_t0_1200
4911,109;180;23;45;28;5;16;102,study02/study02_p12:target_t7_400:source_t1_1200;study02/study02_p16:target_t4_800:source_t3_400;study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p11:target_t22_0:source_t4_800
4912,196;139;18;121;177;187;4;41,study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p07:target_t23_800:source_t10_0;study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p16:target_t0_1200:source_t2_800;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p07:target_t2_1200:source_t3_800;study02/study02_p09:target_t2_800:source_t1_0
4913,11;123;230;56;207;141;8;193,study02/study02_p07:target_t16_1200:source_t5_1200;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p09:target_t19_0:source_t8_1200;study02/study02_p17:target_t7_800:source_t19_800;study02/study02_p14:target_t5_400:source_t6_400;study02/study02_p07:target_t6_1200:source_t4_800;study02/study02_p16:target_t18_1200:source_t8_1200
4914,110;90;106;114;113;152;63;150,study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p12:target_t2_1200:source_t0_800;study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p14:target_t19_400:source_t14_0
4915,47;48;101;60;15;54;49;190,study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p11:target_t21_1200:source_t4_400;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p07:target_t22_0:source_t9_400;study02/study02_p09:target_t15_800:source_t8_400;study02/study02_p09:target_t5_1200:source_t6_0;study02/study02_p16:target_t18_0:source_t8_0
4916,173;203;83;162;233;120;20;183,study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p17:target_t5_0:source_t15_400;study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p08:target_t0_0:source_t12_0;study02/study02_p16:target_t11_400:source_t5_0
4917,17;147;153;179;104;165;142;192,study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p15:target_t3_800:source_t0_800;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p12:target_t2_0:source_t0_0;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p16:target_t18_800:source_t8_800
4918,33;69;79;149;197;172;42;27,study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p14:target_t15_800:source_t13_1200;study02/study02_p16:target_t20_1200:source_t10_800;study02/study02_p15:target_t22_0:source_t12_400;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p08:target_t7_400:source_t13_1200
4919,175;158;12;118;94;227;125;204,study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p17:target_t5_1200:source_t15_800
4920,200;211;57;78;52;144;184;108,study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p09:target_t19_400:source_t11_0;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p12:target_t6_800:source_t1_800
4921,64;24;224;229;14;97;46;91,study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p11:target_t14_1200:source_t3_400;study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p11:target_t8_800:source_t0_800
4922,93;58;119;191;136;127;126;201,study02/study02_p11:target_t11_0:source_t2_0;study02/study02_p09:target_t19_800:source_t11_400;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p16:target_t18_400:source_t8_400;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p17:target_t0_400:source_t14_1200
4923,22;135;186;143;37;6;88;164,study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p16:target_t15_0:source_t7_0;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p15:target_t14_0:source_t5_400
4924,75;61;105;19;25;209;116;35,study02/study02_p10:target_t10_400:source_t17_1200;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p08:target_t2_1200:source_t13_400;study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p08:target_t11_400:source_t17_0
4925,3;44;39;9;107;212;174;26,study02/study02_p07:target_t2_800:source_t3_400;study02/study02_p09:target_t4_400:source_t1_1200;study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p07:target_t16_0:source_t4_1200;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p08:target_t7_0:source_t13_800
4926,99;166;111;194;232;98;67;239,study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p16:target_t20_0:source_t9_0;study02/study02_p18:target_t6_400:source_t11_800;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p18:target_t20_0:source_t13_400
4927,161;159;216;65;171;169;160;202,study02/study02_p15:target_t9_1200:source_t4_800;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p15:target_t17_400:source_t12_0;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p17:target_t0_800:source_t15_0
4928,134;95;137;182;221;198;59;84,study02/study02_p13:target_t15_800:source_t14_0;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p14:target_t4_400:source_t2_800;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p09:target_t19_1200:source_t11_800;study02/study02_p10:target_t19_1200:source_t21_800
4929,62,study02/study02_p09:target_t21_800:source_t13_400
4930,220;33;106;160;128;148;150;186,study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p12:target_t2_1200:source_t0_800;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p13:target_t8_1200:source_t9_800;study02/study02_p14:target_t15_400:source_t13_800;study02/study02_p14:target_t19_400:source_t14_0;study02/study02_p16:target_t15_0:source_t7_0
4931,159;118;165;120;44;139;22;170,study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p09:target_t4_400:source_t1_1200;study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p15:target_t17_0:source_t6_1200
4932,62;35;91;108;23;38;142;161,study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p08:target_t11_400:source_t17_0;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p12:target_t6_800:source_t1_800;study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p15:target_t9_1200:source_t4_800
4933,156;143;50;228;178;169;174;48,study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p17:target_t23_800:source_t2_1200;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p09:target_t5_800:source_t3_1200
4934,82;235;60;67;70;229;230;172,study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p18:target_t10_800:source_t12_400;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p15:target_t22_0:source_t12_400
4935,221;209;154;135;195;215;42;207,study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p17:target_t7_800:source_t19_800
4936,98;65;78;151;6;52;155;68,study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p10:target_t2_0:source_t13_800
4937,184;103;79;132;166;206;208;94,study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p11:target_t11_800:source_t2_400
4938,47;182;87;12;40;239;223;136,study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p18:target_t20_0:source_t13_400;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p14:target_t1_800:source_t2_0
4939,7;28;190;141;88;66;64;11,study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p14:target_t5_400:source_t6_400;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p07:target_t16_1200:source_t5_1200
4940,183;199;55;81;234;222;236;237,study02/study02_p16:target_t11_400:source_t5_0;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p09:target_t15_1200:source_t8_800;study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p18:target_t16_800:source_t12_1200
4941,175;74;46;8;115;145;61;29,study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p10:target_t10_0:source_t17_800;study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p07:target_t6_1200:source_t4_800;study02/study02_p12:target_t14_0:source_t4_400;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p08:target_t8_0:source_t14_400
4942,112;15;41;189;211;204;188;127,study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p07:target_t22_0:source_t9_400;study02/study02_p09:target_t2_800:source_t1_0;study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p17:target_t5_1200:source_t15_800;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p13:target_t6_1200:source_t9_400
4943,2;86;80;117;21;30;238;104,study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p08:target_t0_400:source_t12_400;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p12:target_t2_0:source_t0_0
4944,73;9;224;69;51;214;99;34,study02/study02_p10:target_t3_800:source_t17_400;study02/study02_p07:target_t16_0:source_t4_1200;study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p08:target_t11_0:source_t15_1200
4945,113;119;126;83;75;97;201;180,study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p10:target_t10_400:source_t17_1200;study02/study02_p11:target_t14_1200:source_t3_400;study02/study02_p17:target_t0_400:source_t14_1200;study02/study02_p16:target_t4_800:source_t3_400
4946,124;36;140;100;32;0;116;56,study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p08:target_t9_0:source_t15_400;study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p09:target_t19_0:source_t8_1200
4947,193;4;59;164;210;225;58;37,study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p07:target_t2_1200:source_t3_800;study02/study02_p09:target_t19_1200:source_t11_800;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p17:target_t9_800:source_t21_400;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p09:target_t19_800:source_t11_400;study02/study02_p08:target_t16_0:source_t17_800
4948,109;49;3;95;107;39;102;134,study02/study02_p12:target_t7_400:source_t1_1200;study02/study02_p09:target_t5_1200:source_t6_0;study02/study02_p07:target_t2_800:source_t3_400;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p11:target_t22_0:source_t4_800;study02/study02_p13:target_t15_800:source_t14_0
4949,163;31;217;152;171;90;85;72,study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p15:target_t17_400:source_t12_0;study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p10:target_t3_400:source_t16_1200
4950,203;153;101;197;200;27;213;212,study02/study02_p17:target_t5_0:source_t15_400;study02/study02_p15:target_t3_800:source_t0_800;study02/study02_p11:target_t21_1200:source_t4_400;study02/study02_p16:target_t20_1200:source_t10_800;study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p08:target_t7_400:source_t13_1200;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p17:target_t13_0:source_t21_1200
4951,157;92;202;181;26;71;76;205,study02/study02_p15:target_t7_1200:source_t1_800;study02/study02_p11:target_t8_1200:source_t0_1200;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p08:target_t7_0:source_t13_800;study02/study02_p10:target_t3_0:source_t16_800;study02/study02_p10:target_t11_0:source_t18_0;study02/study02_p17:target_t7_0:source_t15_1200
4952,54;144;227;177;19;233;45;25,study02/study02_p09:target_t15_800:source_t8_400;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p16:target_t0_1200:source_t2_800;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p08:target_t2_1200:source_t13_400
4953,84;63;176;219;122;218;96;114,study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p16:target_t0_800:source_t2_400;study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p12:target_t19_400:source_t12_0;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p12:target_t10_1200:source_t4_0
4954,173;240;162;17;77;138;18;20,study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p18:target_t20_800:source_t13_800;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p14:target_t4_800:source_t3_400;study02/study02_p07:target_t23_800:source_t10_0;study02/study02_p08:target_t0_0:source_t12_0
4955,10;1;231;93;14;137;198;131,study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p07:target_t1_1200:source_t25_800;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p11:target_t11_0:source_t2_0;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p14:target_t4_400:source_t2_800;study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p13:target_t11_400:source_t12_400
4956,147;111;5;216;24;89;121;191,study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p16:target_t18_400:source_t8_400
4957,43;194;53;192;133;179;232;129,study02/study02_p09:target_t4_0:source_t1_800;study02/study02_p16:target_t20_0:source_t9_0;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p18:target_t6_400:source_t11_800;study02/study02_p13:target_t10_800:source_t9_1200
4958,226;185;187;123;16;13;57;130,study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p09:target_t19_400:source_t11_0;study02/study02_p13:target_t11_0:source_t12_0
4959,105;125;196;110;167;168;158;146,study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p15:target_t16_0:source_t6_0;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p14:target_t12_0:source_t13_0
4960,149,study02/study02_p14:target_t15_800:source_t13_1200
4961,227;31;178;7;141;188;106;34,study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p14:target_t5_400:source_t6_400;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p12:target_t2_1200:source_t0_800;study02/study02_p08:target_t11_0:source_t15_1200
4962,198;95;8;37;151;69;40;118,study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p07:target_t6_1200:source_t4_800;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p12:target_t14_1200:source_t11_0
4963,113;234;45;5;76;116;53;218,study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p10:target_t11_0:source_t18_0;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p17:target_t16_1200:source_t24_400
4964,72;44;18;33;191;80;70;46,study02/study02_p10:target_t3_400:source_t16_1200;study02/study02_p09:target_t4_400:source_t1_1200;study02/study02_p07:target_t23_800:source_t10_0;study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p16:target_t18_400:source_t8_400;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p09:target_t5_0:source_t3_400
4965,124;36;186;164;216;99;233;93,study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p16:target_t15_0:source_t7_0;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p11:target_t11_0:source_t2_0
4966,0;102;209;103;82;129;187;117,study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p11:target_t22_0:source_t4_800;study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p13:target_t10_800:source_t9_1200;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p12:target_t14_800:source_t4_1200
4967,32;154;192;19;91;94;60;73,study02/study02_p08:target_t9_0:source_t15_400;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p10:target_t3_800:source_t17_400
